iter	RMSE
0	0.3637033982
1	0.3633001104
2	0.3629378968
3	0.3626262772
4	0.3623873861
5	0.3621511751
6	0.3619579287
7	0.3617882978
8	0.3616216735
9	0.3614818089
10	0.361369304
11	0.3612792858
12	0.3611771465
13	0.3611011976
14	0.3610311767
15	0.3609363134
16	0.3608679225
17	0.3608254793
18	0.3607798207
19	0.360708074
20	0.3606601573
21	0.3606152894
22	0.3605805611
23	0.3605285557
24	0.3604868471
25	0.360443063
26	0.3604140348
27	0.3603831813
28	0.3603572951
29	0.3603354421
30	0.3603074784
31	0.3602785671
32	0.3602640685
33	0.3602278148
34	0.3602073685
35	0.360190838
36	0.3601748723
37	0.3601629865
38	0.3601470212
39	0.3601273549
40	0.3601166057
41	0.3601030712
42	0.3600855209
43	0.3600783793
44	0.3600641996
45	0.3600500962
46	0.3600392121
47	0.3600200401
48	0.3600100354
49	0.3599876046
50	0.3599773778
51	0.3599606715
52	0.3599473417
53	0.359936
54	0.3599261793
55	0.3599118581
56	0.359903098
57	0.3598907399
58	0.3598819533
59	0.3598684963
60	0.3598603634
61	0.3598488851
62	0.3598366672
63	0.3598244151
64	0.3598093254
65	0.3598030255
66	0.3597961306
67	0.3597838929
68	0.3597624769
69	0.3597534682
70	0.3597397587
71	0.3597249847
72	0.3597115791
73	0.3597020667
74	0.3596941697
75	0.3596864702
76	0.3596770395
77	0.3596665716
78	0.3596596089
79	0.3596495324
80	0.3596390213
81	0.3596300378
82	0.3596244874
83	0.3596102676
84	0.3596041686
85	0.3595959061
86	0.3595877316
87	0.3595750724
88	0.3595644806
89	0.359553029
90	0.3595409932
91	0.3595340909
92	0.35952555
93	0.359517088
94	0.3595145882
95	0.3595034346
96	0.3594905212
97	0.3594826137
98	0.3594749196
99	0.3594677019
100	0.3594633608
101	0.3594540269
102	0.3594381847
103	0.3594332045
104	0.359424547
105	0.3594105673
106	0.3594054621
107	0.3593931817
108	0.3593838561
109	0.3593753491
110	0.3593690293
111	0.3593552194
112	0.359349781
113	0.359342178
114	0.359331379
115	0.3593206756
116	0.3593105627
117	0.3593005562
118	0.3592962474
119	0.359284485
120	0.3592746681
121	0.3592694219
122	0.3592637526
123	0.3592571242
124	0.3592494505
125	0.3592425191
126	0.3592328094
127	0.3592250371
128	0.3592201046
129	0.3592109818
130	0.35920307
131	0.3591962061
132	0.3591854269
133	0.3591731836
134	0.3591639984
135	0.3591584769
136	0.3591525055
137	0.3591477033
138	0.3591418958
139	0.3591322178
140	0.3591238057
141	0.3591171263
142	0.3591083406
143	0.3591017266
144	0.3590935164
145	0.3590845495
146	0.3590730748
147	0.3590654419
148	0.359057191
149	0.3590500167
150	0.3590411299
151	0.3590352774
152	0.3590304163
153	0.3590239511
154	0.359009099
155	0.3590018804
156	0.3589931551
157	0.3589862975
158	0.3589781198
159	0.3589719902
160	0.3589592841
161	0.3589506965
162	0.3589458487
163	0.3589409704
164	0.3589315313
165	0.3589230764
166	0.3589174757
167	0.3589100775
168	0.3589001156
169	0.3588897941
170	0.3588827375
171	0.3588746192
172	0.3588682002
173	0.3588565272
174	0.3588456139
175	0.358837921
176	0.3588328646
177	0.3588243483
178	0.3588206342
179	0.3588111991
180	0.3588026272
181	0.3587921201
182	0.3587827223
183	0.3587795083
184	0.3587702393
185	0.3587614682
186	0.3587515864
187	0.3587446136
188	0.3587386477
189	0.3587314193
190	0.3587258157
191	0.358719595
192	0.3587100727
193	0.3587008768
194	0.3586929571
195	0.3586811612
196	0.3586733926
197	0.3586632568
198	0.3586593244
199	0.3586509442
200	0.3586462415
201	0.3586419418
202	0.3586284697
203	0.3586213435
204	0.3586132667
205	0.3586045782
206	0.3585980223
207	0.358589765
208	0.3585825924
209	0.3585771964
210	0.3585703508
211	0.3585619574
212	0.3585542659
213	0.3585478036
214	0.3585377627
215	0.3585327902
216	0.3585273412
217	0.3585232001
218	0.358514698
219	0.3585097324
220	0.3585044259
221	0.3584989026
222	0.3584910864
223	0.3584846714
224	0.3584754942
225	0.3584675427
226	0.3584615859
227	0.3584521158
228	0.3584431963
229	0.3584371414
230	0.3584282941
231	0.3584211854
232	0.3584157148
233	0.3584086236
234	0.3584027936
235	0.3583978515
236	0.3583914174
237	0.358384724
238	0.3583798211
239	0.3583747024
240	0.3583677039
241	0.358361813
242	0.3583512945
243	0.3583426298
244	0.3583332706
245	0.3583262934
246	0.3583198625
247	0.3583120775
248	0.3583065629
249	0.3582951001
250	0.3582901991
251	0.3582831003
252	0.3582733152
253	0.3582656933
254	0.358259539
255	0.358250876
256	0.3582430335
257	0.3582364374
258	0.3582262072
259	0.3582171112
260	0.3582083645
261	0.3581988985
262	0.3581920467
263	0.3581838111
264	0.358177475
265	0.3581705424
266	0.3581648643
267	0.3581586495
268	0.3581551008
