iter	Passed	Remaining
0	26	26971
1	51	25925
2	76	25311
3	98	24618
4	123	24644
5	154	25610
6	177	25187
7	202	25100
8	227	25079
9	252	25043
10	277	24975
11	301	24798
12	325	24741
13	353	24882
14	379	24914
15	408	25113
16	430	24919
17	451	24646
18	475	24526
19	501	24581
20	528	24625
21	552	24580
22	576	24476
23	600	24401
24	624	24353
25	648	24291
26	671	24202
27	694	24101
28	721	24152
29	749	24242
30	773	24191
31	798	24141
32	818	23996
33	845	24026
34	868	23934
35	889	23807
36	913	23774
37	935	23681
38	958	23606
39	982	23581
40	1003	23481
41	1027	23445
42	1052	23434
43	1074	23339
44	1097	23293
45	1123	23296
46	1154	23412
47	1180	23413
48	1202	23329
49	1228	23339
50	1255	23363
51	1280	23336
52	1305	23321
53	1329	23290
54	1352	23236
55	1377	23219
56	1400	23170
57	1424	23131
58	1449	23114
59	1472	23075
60	1494	23003
61	1517	22964
62	1540	22918
63	1565	22899
64	1590	22880
65	1613	22839
66	1637	22798
67	1659	22747
68	1686	22754
69	1712	22747
70	1741	22788
71	1767	22785
72	1793	22779
73	1818	22755
74	1839	22692
75	1863	22652
76	1886	22611
77	1911	22597
78	1936	22572
79	1958	22527
80	1985	22530
81	2009	22498
82	2033	22463
83	2056	22422
84	2077	22365
85	2103	22352
86	2127	22327
87	2154	22323
88	2179	22313
89	2203	22275
90	2228	22264
91	2255	22260
92	2279	22231
93	2301	22182
94	2320	22107
95	2344	22075
96	2368	22053
97	2390	22001
98	2414	21978
99	2435	21920
100	2459	21895
101	2484	21870
102	2510	21861
103	2533	21827
104	2556	21787
105	2581	21770
106	2606	21756
107	2630	21729
108	2657	21725
109	2680	21686
110	2704	21658
111	2734	21684
112	2759	21661
113	2782	21627
114	2808	21613
115	2833	21595
116	2856	21555
117	2879	21524
118	2902	21488
119	2926	21461
120	2951	21442
121	2975	21415
122	2999	21385
123	3022	21353
124	3046	21325
125	3069	21293
126	3091	21250
127	3114	21214
128	3135	21167
129	3159	21141
130	3183	21115
131	3205	21077
132	3231	21066
133	3254	21034
134	3278	21008
135	3303	20985
136	3324	20941
137	3346	20905
138	3377	20924
139	3400	20888
140	3424	20862
141	3448	20836
142	3472	20813
143	3496	20785
144	3518	20746
145	3544	20733
146	3567	20699
147	3589	20665
148	3613	20636
149	3634	20597
150	3655	20551
151	3677	20514
152	3700	20487
153	3728	20480
154	3753	20461
155	3776	20430
156	3802	20415
157	3823	20376
158	3852	20377
159	3874	20341
160	3899	20320
161	3922	20290
162	3942	20243
163	3963	20206
164	3986	20176
165	4010	20147
166	4033	20119
167	4055	20083
168	4078	20052
169	4102	20029
170	4125	20000
171	4148	19970
172	4172	19944
173	4193	19909
174	4224	19916
175	4248	19888
176	4269	19851
177	4291	19817
178	4314	19787
179	4337	19761
180	4359	19724
181	4383	19700
182	4408	19680
183	4429	19645
184	4454	19622
185	4477	19595
186	4501	19572
187	4527	19554
188	4550	19526
189	4572	19492
190	4593	19457
191	4616	19427
192	4639	19397
193	4661	19367
194	4685	19341
195	4708	19314
196	4736	19305
197	4761	19287
198	4785	19260
199	4806	19226
200	4827	19191
201	4851	19164
202	4876	19145
203	4899	19119
204	4922	19091
205	4944	19056
206	4967	19030
207	4989	18999
208	5014	18978
209	5034	18941
210	5058	18913
211	5083	18894
212	5106	18868
213	5130	18843
214	5155	18821
215	5181	18805
216	5203	18777
217	5229	18758
218	5254	18739
219	5274	18701
220	5296	18671
221	5318	18638
222	5343	18618
223	5365	18589
224	5387	18556
225	5410	18531
226	5435	18509
227	5459	18484
228	5483	18461
229	5504	18427
230	5527	18401
231	5549	18372
232	5572	18344
233	5595	18315
234	5618	18290
235	5639	18257
236	5661	18227
237	5683	18196
238	5705	18167
239	5730	18145
240	5755	18126
241	5776	18094
242	5798	18064
243	5824	18046
244	5849	18027
245	5871	17997
246	5895	17972
247	5917	17942
248	5940	17917
249	5966	17899
250	5988	17869
251	6009	17838
252	6032	17812
253	6057	17790
254	6079	17760
255	6104	17742
256	6126	17711
257	6148	17682
258	6170	17654
259	6193	17628
260	6220	17614
261	6245	17592
262	6271	17574
263	6293	17545
264	6316	17518
265	6341	17498
266	6363	17470
267	6384	17438
268	6405	17405
