"","batter_id","year","pitches","stuff_rv_70","pitch_rv_150","woba_fg"
"1",405395,2021,1063,0.177,0.636,0.293229021352313
"2",408234,2021,2024,0.075,0.588,0.304705673664122
"3",425772,2021,34,0.344,0.031,0
"4",425784,2021,283,0.227,0.622,0.28824436
"5",425794,2021,252,0.465,0.859,0.15175806779661
"6",425844,2021,4,0.378,-3.304,0
"7",425877,2021,1635,0.005,0.515,0.296737014069264
"8",431148,2021,9,0.014,0.791,0
"9",435559,2021,877,0.143,0.494,0.287031572033898
"10",443558,2021,2135,-0.1,0.429,0.352591778378378
"11",444482,2021,2029,0.074,0.499,0.310004965648855
"12",444489,2021,782,0.202,0.605,0.311936253658537
"13",444876,2021,1353,0.015,0.393,0.328372717201166
"14",445055,2021,52,0.143,-0.363,0.313948214285714
"15",445276,2021,4,-0.705,-0.321,0
"16",445926,2021,12,0.692,1.749,0
"17",446321,2021,14,0.357,1.667,0.293018333333333
"18",446334,2021,1119,0.013,0.106,0.354511230215827
"19",446372,2021,8,0.093,0.75,0
"20",446653,2021,56,-0.349,-0.009,0.106418
"21",448179,2021,92,0.62,0.606,0.114659347826087
"22",448855,2021,8,0.828,0.065,0
"23",450203,2021,205,0.49,0.438,0.122943018867925
"24",451594,2021,75,-0.048,0.205,0.242237714285714
"25",452657,2021,211,0.35,0.585,0.209561816326531
"26",452678,2021,1329,0.125,0.676,0.304068647230321
"27",453265,2021,6,0.021,1.193,0
"28",453268,2021,2,2.062,2.039,0.879055
"29",453281,2021,34,1.009,-0.153,0
"30",453286,2021,234,0.259,-0.148,0
"31",453343,2021,2,-0.778,1.255,NA
"32",453527,2021,8,0.267,2.373,0
"33",453562,2021,117,0.102,-0.48,0.18970124
"34",453568,2021,2111,0.129,0.664,0.339067575438597
"35",453943,2021,159,0.141,1.436,0.162969375
"36",455117,2021,1756,0.036,0.094,0.261414360381862
"37",455139,2021,458,-0.094,0.785,0.33615809009009
"38",456034,2021,46,0.698,1.278,0.277058214285714
"39",456501,2021,114,0.706,0.542,0.127775366666667
"40",456715,2021,1112,0.031,0.103,0.325641396428571
"41",456781,2021,1284,0.164,0.515,0.327358386706949
"42",457705,2021,2178,0.008,0.281,0.33409375412844
"43",457708,2021,1446,-0.014,0.159,0.307793755072464
"44",457727,2021,125,-0.139,-0.068,0.133274848484848
"45",457759,2021,2419,0.041,0.279,0.352948614357262
"46",457763,2021,1705,0.032,0.132,0.376363903002309
"47",457803,2021,151,0.276,0.389,0.241853285714286
"48",457915,2021,7,1.012,1.555,0
"49",457918,2021,55,0.701,0.638,0.0494083571428571
"50",458015,2021,2200,0.164,0.669,0.386260875
"51",458676,2021,4,1.033,0.68,0
"52",458681,2021,19,0.647,-1.081,0.175811
"53",458708,2021,16,0.549,0.189,0.392693
"54",458731,2021,1979,0.079,0.628,0.294860710955711
"55",459964,2021,269,-0.146,0.589,0.225413876923077
"56",460077,2021,142,0.361,0.37,0.0937425
"57",461865,2021,254,0.248,1.299,0.219837262295082
"58",462101,2021,2002,0.052,0.345,0.268483227099237
"59",467055,2021,328,-0.07,1.204,0.258382837837838
"60",467092,2021,541,0.115,-0.165,0.291226127388535
"61",467793,2021,2671,0.18,0.823,0.295477916018663
"62",467827,2021,404,0.04,0.529,0.280771431372549
"63",468504,2021,23,0.318,0.951,0
"64",471911,2021,62,-0.092,-0.25,0
"65",474463,2021,119,0.418,0.751,0.0477046206896552
"66",474568,2021,525,0.051,0.246,0.28443139516129
"67",474832,2021,1540,0.243,0.942,0.410801559459459
"68",475582,2021,1089,-0.098,0.475,0.317785627376426
"69",476594,2021,16,-0.47,-1.39,0
"70",476704,2021,1991,0.14,0.484,0.309659346
"71",477132,2021,155,0.346,-0.021,0.208761
"72",488671,2021,453,0.131,0.752,0.316445076190476
"73",488726,2021,1852,0.068,0.374,0.34822575498008
"74",488771,2021,749,0.046,0.481,0.345955830409357
"75",488984,2021,1,1.023,-1.604,0.879055
"76",489119,2021,155,0.713,1.397,0.217336109090909
"77",489334,2021,13,0.782,0.13,0.293018333333333
"78",493329,2021,2252,-0.007,0.586,0.362281230639731
"79",493472,2021,40,0.385,0.353,0.277406833333333
"80",500743,2021,1945,0.044,0.513,0.312042591254753
"81",500779,2021,11,0.439,0.648,0.785386
"82",500871,2021,2322,0.24,1.054,0.332338604529617
"83",501303,2021,783,0.159,0.884,0.311347953125
"84",501381,2021,9,-0.296,0.609,0
"85",501571,2021,1207,0.085,0.42,0.281232034920635
"86",501625,2021,23,0.549,1.401,0.3458585
"87",501659,2021,755,0.193,0.57,0.324294028901734
"88",501981,2021,447,-0.037,-0.308,0.270530115044248
"89",501985,2021,24,0.815,0.09,0
"90",502043,2021,90,0.566,0.059,0.160127068965517
"91",502054,2021,2335,0.008,0.293,0.317731784671533
"92",502110,2021,2300,0.037,0.322,0.3644149575
"93",502171,2021,6,1.505,6.189,0
"94",502179,2021,115,0.438,0.359,0.151561206896552
"95",502210,2021,552,0.065,0.331,0.286711841059603
"96",502239,2021,28,-0.049,-0.038,0.0976727777777778
"97",502273,2021,252,0.032,0.352,0.205600078125
"98",502285,2021,6,0.809,2.796,0
"99",502481,2021,553,0.074,0.531,0.2461578125
"100",502624,2021,41,0.335,0.236,0
"101",502671,2021,2688,0.004,0.503,0.37546465813253
"102",503449,2021,6,1.641,3.919,0.3458585
"103",503556,2021,1135,0.221,0.583,0.262256708333333
"104",506433,2021,206,0.277,0.699,0.112353788461538
"105",506702,2021,908,0.2,0.276,0.229368697674419
"106",506703,2021,121,0.054,0.095,0.270814027027027
"107",514888,2021,2443,-0.015,0.491,0.35848851951952
"108",514917,2021,2376,0.239,0.674,0.301845306946688
"109",516416,2021,2056,0.017,0.661,0.332518112359551
"110",516770,2021,1236,0.034,0.105,0.305826920180723
"111",516782,2021,1896,-0.006,0.496,0.360110127952756
"112",518516,2021,238,-0.085,0.572,0.192821416666667
"113",518586,2021,953,0.063,0.501,0.28815956640625
"114",518595,2021,809,-0.072,-0.08,0.298631023474178
"115",518617,2021,3,0.499,1.253,0
"116",518626,2021,2069,-0.074,0.501,0.357695315487572
"117",518692,2021,2553,0.046,0.665,0.384885314329738
"118",518735,2021,1635,0.257,1.163,0.409139871584699
"119",518774,2021,18,0.324,-0.173,0
"120",518792,2021,1271,0.133,0.392,0.266697158357771
"121",518858,2021,2,0.443,-2.085,0
"122",518876,2021,174,0.206,0.184,0.137300666666667
"123",518886,2021,6,-0.607,-1.1,0
"124",518902,2021,50,0.266,0.046,0.130897666666667
"125",518934,2021,2509,0.053,0.523,0.318067313755796
"126",518960,2021,81,0.244,0.576,0.325381952380952
"127",519043,2021,75,0.165,-0.015,0
"128",519048,2021,971,0.023,0.501,0.303444779116466
"129",519058,2021,770,0.182,0.744,0.280019793103448
"130",519076,2021,11,0.911,-0.361,0
"131",519203,2021,2163,0.048,0.437,0.338590268817204
"132",519222,2021,207,0.034,0.049,0.233639813559322
"133",519242,2021,3,0.713,0.58,0
"134",519299,2021,645,0.135,0.548,0.263392780346821
"135",519306,2021,145,0.127,0.109,0.255283117647059
"136",519317,2021,2303,-0.08,0.538,0.371785864963504
"137",519326,2021,7,1.334,0.901,0
"138",519390,2021,995,0.08,0.768,0.275648752173913
"139",519455,2021,5,-0.536,-0.302,0
"140",520471,2021,1474,0.145,0.36,0.30976731233244
"141",521692,2021,2363,-0.064,0.764,0.362155780674847
"142",523260,2021,12,-0.008,1.091,0
"143",527038,2021,1691,0.104,0.547,0.332203239534884
"144",527048,2021,10,-0.528,-0.222,0
"145",528748,2021,12,0.223,-0.912,0.537804285714286
"146",534606,2021,89,0.172,1.133,0.328188166666667
"147",541600,2021,48,-0.37,-0.993,0.20415225
"148",541645,2021,1691,0.01,0.532,0.345817191358025
"149",541650,2021,82,0.142,-0.002,0.107737571428571
"150",542255,2021,324,0.231,0.887,0.250817864197531
"151",542303,2021,664,-0.076,0.353,0.271912955801105
"152",542340,2021,1941,0.151,0.76,0.321726129292929
"153",542364,2021,1315,0.172,0.95,0.351896953271028
"154",542454,2021,490,0.148,0.448,0.245102680327869
"155",542583,2021,2038,-0.039,0.435,0.338999785714286
"156",542881,2021,138,0.582,0.112,0.140405315789474
"157",542932,2021,1113,0.1,0.471,0.285009581749049
"158",542947,2021,3,1.02,2.923,NA
"159",542963,2021,88,-0.041,0.786,0.177223428571429
"160",542992,2021,69,0.256,1.347,0.3864562
"161",543022,2021,5,0.613,2.114,0
"162",543056,2021,1,-0.303,5.905,NA
"163",543063,2021,2078,0.186,0.592,0.372916807909605
"164",543068,2021,2141,0.03,0.558,0.379372103189493
"165",543089,2021,22,0.341,0.876,0.4083045
"166",543101,2021,210,0.31,-0.013,0.09775146
"167",543105,2021,1195,0.21,0.509,0.304085860465116
"168",543135,2021,17,-0.274,-1.005,0.230572333333333
"169",543228,2021,1308,0.068,0.341,0.308791958563536
"170",543243,2021,128,0.429,0.444,0.152975564102564
"171",543257,2021,2781,0.25,1.011,0.339144134146341
