"batter_id","year","pa","woba","wobacon","xwoba_ev_la","xwoba_ev_la_sa","xwobacon_ev_la","xwobacon_ev_la_sa","woba_minus_xwoba_2p","woba_minus_xwoba_3p","xwoba_3p_minus_xwoba_2p","wobacon_minus_xwobacon_2p","wobacon_minus_xwobacon_3p","xwobacon_3p_minus_xwobacon_2p"
405395,2021,293,0.306,0.334,0.343,0.34,0.381,0.377,-0.037,-0.034,-0.003,-0.047,-0.043,-0.004
405395,2022,350,0.381,0.415,0.382,0.399,0.417,0.44,-0.001,-0.018,0.017,-0.002,-0.025,0.023
408234,2021,521,0.305,0.356,0.319,0.318,0.381,0.38,-0.014,-0.013,-0.001,-0.025,-0.024,-0.001
408234,2022,428,0.278,0.329,0.289,0.29,0.347,0.348,-0.011,-0.012,0.001,-0.018,-0.019,0.001
408234,2023,370,0.299,0.333,0.312,0.316,0.351,0.357,-0.013,-0.017,0.004,-0.018,-0.024,0.00600000000000001
425772,2021,9,0,0,0.073,0.071,0.163,0.159,-0.073,-0.071,-0.002,-0.163,-0.159,-0.004
425784,2021,75,0.288,0.435,0.267,0.25,0.395,0.364,0.021,0.038,-0.017,0.04,0.071,-0.031
425794,2021,60,0.149,0.215,0.183,0.171,0.278,0.255,-0.034,-0.022,-0.012,-0.063,-0.04,-0.023
425794,2023,2,0,0,0.197,0.111,0.393,0.221,-0.197,-0.111,-0.086,-0.393,-0.221,-0.172
425844,2021,2,0,0,0.004,0.003,0.009,0.005,-0.004,-0.003,-0.001,-0.009,-0.005,-0.004
425877,2021,471,0.291,0.321,0.317,0.312,0.355,0.344,-0.026,-0.021,-0.005,-0.034,-0.023,-0.011
425877,2022,270,0.235,0.262,0.271,0.259,0.306,0.292,-0.036,-0.024,-0.012,-0.044,-0.03,-0.014
429664,2022,104,0.169,0.198,0.24,0.23,0.297,0.282,-0.071,-0.061,-0.00999999999999998,-0.099,-0.084,-0.015
431148,2021,3,0,0,0.003,0.001,0.009,0.004,-0.003,-0.001,-0.002,-0.009,-0.004,-0.005
435559,2021,244,0.282,0.296,0.277,0.307,0.287,0.329,0.00499999999999995,-0.025,0.03,0.00900000000000001,-0.033,0.042
435559,2022,158,0.254,0.253,0.258,0.271,0.259,0.277,-0.004,-0.017,0.013,-0.00600000000000001,-0.024,0.018
443558,2021,574,0.355,0.414,0.371,0.363,0.439,0.426,-0.016,-0.00800000000000001,-0.00800000000000001,-0.025,-0.012,-0.013
443558,2022,502,0.295,0.334,0.319,0.327,0.374,0.388,-0.024,-0.032,0.00800000000000001,-0.04,-0.054,0.014
443558,2023,151,0.294,0.398,0.306,0.311,0.417,0.424,-0.012,-0.017,0.005,-0.019,-0.026,0.00700000000000001
444482,2021,533,0.316,0.343,0.296,0.309,0.317,0.335,0.02,0.00700000000000001,0.013,0.026,0.00800000000000001,0.018
444482,2022,485,0.319,0.378,0.322,0.301,0.383,0.349,-0.003,0.018,-0.021,-0.005,0.029,-0.034
444482,2023,420,0.291,0.328,0.31,0.321,0.353,0.367,-0.019,-0.03,0.011,-0.025,-0.039,0.014
444482,2024,260,0.329,0.379,0.321,0.333,0.367,0.384,0.00800000000000001,-0.004,0.012,0.012,-0.005,0.017
444489,2021,207,0.315,0.327,0.327,0.331,0.338,0.344,-0.012,-0.016,0.004,-0.011,-0.017,0.00599999999999995
