"pitcher_id","year","pa","woba","wobacon","xwoba_ev_la","xwoba_ev_la_sa","xwobacon_ev_la","xwobacon_ev_la_sa","woba_minus_xwoba_2p","woba_minus_xwoba_3p","xwoba_3p_minus_xwoba_2p","wobacon_minus_xwobacon_2p","wobacon_minus_xwobacon_3p","xwobacon_3p_minus_xwobacon_2p"
405395,2022,7,0.817,0.838,0.442,0.683,0.401,0.682,0.375,0.134,0.241,0.437,0.156,0.281
424144,2021,17,0.283,0.338,0.226,0.28,0.259,0.335,0.057,0.00299999999999995,0.054,0.079,0.003,0.076
424144,2022,24,0.448,0.432,0.387,0.388,0.359,0.36,0.061,0.06,0.001,0.073,0.072,0.001
425794,2021,821,0.274,0.313,0.303,0.297,0.353,0.345,-0.029,-0.023,-0.00600000000000001,-0.04,-0.032,-0.00800000000000001
425794,2022,801,0.307,0.341,0.329,0.319,0.371,0.358,-0.022,-0.012,-0.01,-0.03,-0.017,-0.013
425794,2023,482,0.414,0.442,0.402,0.399,0.428,0.424,0.012,0.015,-0.003,0.014,0.018,-0.004
425844,2021,695,0.309,0.351,0.313,0.322,0.356,0.368,-0.004,-0.013,0.00900000000000001,-0.005,-0.017,0.012
425844,2022,584,0.321,0.347,0.337,0.338,0.367,0.367,-0.016,-0.017,0.001,-0.02,-0.02,0
425844,2023,592,0.332,0.379,0.342,0.329,0.393,0.377,-0.01,0.003,-0.013,-0.014,0.002,-0.016
425877,2022,12,0.703,0.767,0.432,0.387,0.472,0.422,0.271,0.316,-0.045,0.295,0.345,-0.05
429722,2021,275,0.329,0.37,0.363,0.352,0.419,0.404,-0.034,-0.023,-0.011,-0.049,-0.034,-0.015
431148,2021,54,0.409,0.465,0.399,0.386,0.449,0.388,0.00999999999999995,0.023,-0.013,0.016,0.077,-0.061
433589,2021,310,0.281,0.301,0.317,0.293,0.343,0.314,-0.036,-0.012,-0.024,-0.042,-0.013,-0.029
434378,2022,664,0.222,0.277,0.257,0.252,0.33,0.323,-0.035,-0.03,-0.005,-0.053,-0.046,-0.00700000000000001
434378,2023,667,0.284,0.326,0.294,0.29,0.343,0.336,-0.01,-0.00600000000000001,-0.004,-0.017,-0.01,-0.00700000000000001
434378,2024,396,0.337,0.383,0.305,0.312,0.339,0.348,0.032,0.025,0.00700000000000001,0.044,0.035,0.00899999999999995
434378,2025,658,0.321,0.369,0.314,0.319,0.359,0.367,0.00700000000000001,0.002,0.005,0.01,0.002,0.00800000000000001
434671,2022,289,0.322,0.331,0.334,0.347,0.347,0.365,-0.012,-0.025,0.013,-0.016,-0.034,0.018
444482,2021,9,0.636,0.715,0.573,0.654,0.633,0.738,0.0630000000000001,-0.018,0.0810000000000001,0.082,-0.023,0.105
444876,2022,10,0.444,0.379,0.427,0.493,0.358,0.44,0.017,-0.049,0.066,0.021,-0.061,0.082
445213,2021,138,0.406,0.464,0.372,0.395,0.424,0.453,0.034,0.011,0.023,0.04,0.011,0.029
445276,2021,273,0.237,0.255,0.265,0.264,0.305,0.303,-0.028,-0.027,-0.001,-0.05,-0.048,-0.002
445276,2022,257,0.27,0.356,0.247,0.247,0.316,0.316,0.023,0.023,0,0.04,0.04,0
445276,2023,187,0.306,0.377,0.281,0.307,0.338,0.38,0.025,-0.001,0.026,0.039,-0.003,0.042
445276,2024,216,0.257,0.308,0.285,0.27,0.353,0.329,-0.028,-0.013,-0.015,-0.045,-0.021,-0.024
445276,2025,231,0.25,0.285,0.302,0.3,0.362,0.359,-0.052,-0.05,-0.002,-0.077,-0.074,-0.003
445276,2026,3,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA
445926,2021,132,0.233,0.273,0.272,0.261,0.332,0.315,-0.039,-0.028,-0.011,-0.059,-0.042,-0.017
445926,2022,290,0.325,0.408,0.324,0.302,0.409,0.376,0.001,0.023,-0.022,-0.001,0.032,-0.033
445926,2023,144,0.263,0.304,0.278,0.281,0.329,0.332,-0.015,-0.018,0.003,-0.025,-0.028,0.003
445926,2024,261,0.316,0.369,0.322,0.324,0.379,0.381,-0.00600000000000001,-0.00800000000000001,0.002,-0.01,-0.012,0.002
