"MLBAMID","Name"
545361,"Mike Trout"
405395,"Albert Pujols"
134181,"Adrian Beltré"
121347,"Alex Rodriguez"
408234,"Miguel Cabrera"
518692,"Freddie Freeman"
605141,"Mookie Betts"
592450,"Aaron Judge"
400284,"Chase Utley"
596019,"Francisco Lindor"
514888,"Jose Altuve"
458015,"Joey Votto"
457763,"Buster Posey"
608070,"José Ramírez"
429664,"Robinson Canó"
502671,"Paul Goldschmidt"
592518,"Manny Machado"
136860,"Carlos Beltrán"
547180,"Bryce Harper"
425877,"Yadier Molina"
446334,"Evan Longoria"
431145,"Russell Martin"
408045,"Joe Mauer"
457705,"Andrew McCutchen"
435263,"Brian McCann"
571448,"Nolan Arenado"
400085,"Ichiro Suzuki"
431151,"David Wright"
120074,"David Ortiz"
407812,"Matt Holliday"
276519,"Jimmy Rollins"
607208,"Trea Turner"
435079,"Ian Kinsler"
434158,"Curtis Granderson"
518626,"Josh Donaldson"
204020,"Lance Berkman"
116539,"Derek Jeter"
592885,"Christian Yelich"
116706,"Chipper Jones Jr."
407893,"Mark Teixeira"
456030,"Dustin Pedroia"
519317,"Giancarlo Stanton"
593428,"Xander Bogaerts"
408314,"José Reyes"
121409,"Scott Rolen"
460075,"Ryan Braun"
608324,"Alex Bregman"
450314,"Ben Zobrist"
665742,"Juan Soto"
434670,"Hanley Ramirez"
111188,"Barry Bonds"
408307,"Carl Crawford"
608369,"Corey Seager"
443558,"Nelson Cruz"
543807,"George Springer"
621043,"Carlos Correa"
518735,"Yasmani Grandal"
150093,"Alfonso Soriano"
475582,"Ryan Zimmerman"
116338,"Torii Hunter"
543760,"Marcus Semien"
453064,"Troy Tulowitzki"
458731,"Brett Gardner"
116662,"Andruw Jones"
592663,"J.T. Realmuto"
408236,"Adrián González"
150029,"Jayson Werth"
462101,"Elvis Andrus"
660271,"Shohei Ohtani"
516782,"Starling Marte"
457759,"Justin Turner"
519203,"Anthony Rizzo"
133380,"Aramis Ramirez"
457708,"Justin Upton"
518960,"Jonathan Lucroy"
430832,"José Bautista"
518792,"Jason Heyward"
656305,"Matt Chapman"
425783,"Shin-Soo Choo"
110029,"Bobby Abreu"
572122,"Kyle Seager"
115732,"Todd Helton"
543685,"Anthony Rendon"
429665,"Edwin Encarnación"
135784,"Placido Polanco"
553993,"Eugenio Suárez"
136770,"J.D. Drew"
606466,"Ketel Marte"
113744,"Jim Edmonds"
502110,"J.D. Martinez"
660670,"Ronald Acuña Jr."
572761,"Matt Carpenter"
460086,"Alex Gordon"
435062,"Howie Kendrick"
621566,"Matt Olson"
111904,"Mike Cameron"
543063,"Brandon Crawford"
117601,"Derrek Lee"
115223,"Vladimir Guerrero"
542303,"Marcell Ozuna"
113028,"Johnny Damon"
120903,"Manny Ramirez"
123173,"Miguel Tejada"
456715,"Lorenzo Cain"
123272,"Jim Thome"
424825,"Coco Crisp"
406878,"Brian Roberts"
425903,"Kevin Youkilis"
453056,"Jacoby Ellsbury"
429713,"Grady Sizemore"
452254,"Hunter Pence"
408252,"Brandon Phillips"
425664,"Shane Victorino"
279577,"Rafael Furcal"
430945,"Adam Jones"
592178,"Kris Bryant"
646240,"Rafael Devers"
455976,"Nick Markakis"
467793,"Carlos Santana"
425509,"Jhonny Peralta"
641355,"Cody Bellinger"
114789,"Brian Giles"
471083,"Miguel Montero"
488726,"Michael Brantley"
621020,"Dansby Swanson"
452678,"Asdrúbal Cabrera"
607043,"Brandon Nimmo"
285078,"Josh Hamilton"
429666,"J.J. Hardy"
425902,"Prince Fielder"
518934,"DJ LeMahieu"
133160,"Randy Winn"
474832,"Brandon Belt"
621439,"Byron Buxton"
136767,"Eric Chavez"
596115,"Trevor Story"
400121,"Victor Martinez"
452655,"Denard Span"
452104,"Chase Headley"
677951,"Bobby Witt Jr."
120691,"Jorge Posada"
