pitcher_id,year,n_pitches,disruption_1,disruption_2,disruption_len_1,disruption_len_2,bias_1,bias_2,bias_len_1,bias_len_2
425794,2023,297,0.752,0.711,0.697,0.704,0.373,-0.399,0.06,-0.318
425844,2023,338,0.834,0.741,0.721,0.696,0.02,-0.317,-0.051,-0.233
434378,2023,705,0.733,0.798,0.695,0.832,0.094,0.069,0.203,0.204
434378,2024,729,0.761,0.858,0.769,0.889,0.203,0.132,0.244,0.213
434378,2025,1210,0.778,0.83,0.76,0.86,0.186,0.107,0.291,0.246
445276,2023,117,0.653,1.041,0.708,1.023,0.332,0.624,0.528,0.702
445276,2024,355,0.714,0.887,0.776,0.924,0.079,0.26,0.205,0.312
445276,2025,445,0.704,0.955,0.75,0.972,0.186,0.376,0.303,0.409
445926,2023,32,0.78,0.767,0.861,0.696,-0.144,-0.226,-0.51,-0.585
445926,2024,391,0.794,0.67,0.777,0.737,-0.155,-0.354,-0.239,-0.375
445926,2025,68,0.693,0.705,0.615,0.65,0.12,-0.127,0.077,-0.099
448179,2023,369,0.822,0.831,0.847,0.872,0.175,-0.591,-0.088,-0.458
448179,2024,20,1.156,0.953,0.89,0.874,0.995,-0.156,0.425,-0.072
448179,2025,66,0.927,0.929,0.906,0.936,0.5,-0.362,0.201,-0.196
450203,2023,457,0.814,0.819,0.752,0.772,0.072,-0.01,-0.002,-0.057
450203,2024,1180,0.823,0.759,0.733,0.714,0.038,-0.104,-0.005,-0.087
450203,2025,1114,0.802,0.773,0.75,0.75,-0.038,-0.161,-0.04,-0.107
453178,2023,45,0.854,0.797,0.757,0.784,-0.149,-0.239,-0.148,-0.217
453268,2023,139,0.826,0.793,0.783,0.821,-0.151,-0.088,-0.042,-0.016
453286,2023,478,0.785,0.8,0.736,0.801,0.139,0.072,0.117,0.086
453286,2024,345,0.755,0.831,0.753,0.829,0.253,0.082,0.231,0.137
453286,2025,663,0.751,0.8,0.707,0.78,0.175,0.095,0.184,0.138
455117,2023,10,1.064,0.984,0.936,0.866,1.414,0.285,0.693,0.142
455119,2023,181,1.004,0.673,0.9,0.798,-0.508,-0.211,-0.429,-0.236
455119,2024,305,0.967,0.71,0.916,0.78,-0.431,-0.223,-0.409,-0.282
455119,2025,336,0.994,0.702,0.862,0.735,-0.495,-0.355,-0.419,-0.33
456501,2023,415,0.699,0.717,0.729,0.748,0.09,0.013,0.047,-0.023
456501,2024,73,0.849,0.738,0.821,0.733,0.136,-0.129,-0.028,-0.194
458677,2024,401,0.956,0.684,0.785,0.741,-0.444,-0.178,-0.261,-0.084
458677,2025,392,0.905,0.679,0.73,0.688,-0.319,-0.209,-0.1,-0.033
458681,2023,621,0.731,0.778,0.747,0.796,0.045,0.036,0.021,-0.002
458681,2024,893,0.753,0.664,0.703,0.7,-0.134,-0.093,-0.069,-0.053
471911,2023,270,0.758,0.778,0.738,0.744,0.067,0.004,0.03,-0.035
471911,2024,746,0.836,0.742,0.734,0.725,-0.095,-0.213,-0.024,-0.109
471911,2025,341,0.712,0.812,0.718,0.772,0.244,0.077,0.165,0.043
472551,2023,10,0.825,0.592,0.616,0.582,-0.118,-0.122,-0.15,-0.142
472610,2023,222,1.029,0.797,0.88,0.753,-0.161,0.101,-0.206,-0.03
472610,2024,409,0.917,0.839,0.805,0.805,-0.065,0.143,-0.061,0.066
472610,2025,408,0.952,0.809,0.802,0.75,-0.086,0.048,-0.1,-0.023
476594,2025,18,0.522,0.46,0.597,0.742,-0.022,-0.153,0.09,0.015
476595,2023,26,0.83,0.773,0.856,0.842,0.505,-0.144,-0.011,-0.309
477132,2023,228,0.758,0.774,0.684,0.719,0.11,-0.186,0.11,-0.073
477132,2024,240,0.748,0.747,0.695,0.728,0.255,-0.092,0.195,-0.009
477132,2025,765,0.797,0.762,0.715,0.767,0.214,-0.192,0.265,0.042
489119,2023,363,0.796,0.72,0.72,0.717,-0.076,-0.348,-0.01,-0.199
489119,2024,44,0.815,0.655,0.74,0.661,-0.255,-0.496,-0.128,-0.283
489119,2025,81,0.901,0.682,0.716,0.68,-0.21,-0.335,-0.026,-0.108
489446,2023,205,0.81,0.762,0.825,0.777,-0.076,0.039,-0.204,-0.156
489446,2024,460,0.834,0.741,0.81,0.757,-0.158,-0.071,-0.165,-0.126
489446,2025,364,0.815,0.73,0.7,0.658,-0.063,-0.024,-0.121,-0.117
493603,2023,164,0.907,0.764,0.881,0.792,0.036,-0.138,-0.185,-0.295
493603,2024,396,0.886,0.781,0.839,0.807,0.126,-0.162,-0.033,-0.19
493603,2025,9,0.79,0.652,0.666,0.688,-0.059,-0.093,-0.182,-0.198
500743,2023,13,1.118,1.219,0.696,0.633,1.293,0.091,0.71,0.179
500743,2024,6,0.555,0.585,1.182,1.1,0.656,-0.349,-0.425,-0.916
