"","pitcher_id","year","pitches","stuff_rv_70","pitch_rv_150","pitch_minus_stuff"
"1",434378,2025,2600,0.283,0.251,-0.032
"2",445276,2025,867,-0.042,-0.255,-0.213
"3",445926,2025,171,0.335,1.017,0.682
"4",448179,2025,171,0.762,1.096,0.334
"5",450203,2025,2506,-0.34,-0.006,0.334
"6",453286,2025,1385,0.149,-0.072,-0.221
"7",455119,2025,629,-0.333,-0.911,-0.578
"8",458677,2025,812,-0.512,-0.116,0.396
"9",471911,2025,776,0.545,0.601,0.0559999999999999
"10",472610,2025,894,-0.855,-0.973,-0.118
"11",476594,2025,59,-0.074,0.66,0.734
"12",477132,2025,1683,0.493,0.884,0.391
"13",489119,2025,205,0.598,0.802,0.204
"14",489446,2025,742,-0.669,-0.363,0.306
"15",493603,2025,41,-0.259,0.616,0.875
"16",500779,2025,2165,0.29,0.392,0.102
"17",502043,2025,280,0.18,0.784,0.604
"18",502085,2025,302,-0.59,-0.587,0.003
"19",506433,2025,1155,-0.15,0.139,0.289
"20",518397,2025,313,0.075,0.524,0.449
"21",518489,2025,404,0.057,-0.1,-0.157
"22",518585,2025,790,-0.601,0.221,0.822
"23",518876,2025,2828,-0.125,-0.246,-0.121
"24",518886,2025,228,-0.465,-0.196,0.269
"25",519008,2025,272,0.284,0.533,0.249
"26",519141,2025,798,-0.275,-0.279,-0.004
"27",519151,2025,659,0.035,-0.204,-0.239
"28",519242,2025,2022,-0.766,-0.948,-0.182
"29",519326,2025,332,0.173,-0.035,-0.208
"30",521230,2025,230,-0.437,0.113,0.55
"31",527048,2025,901,0.628,0.49,-0.138
"32",534910,2025,78,0.089,0.465,0.376
"33",541640,2025,156,0.181,0.272,0.091
"34",542881,2025,2332,0.215,0.451,0.236
"35",542888,2025,1102,-0.342,-0.33,0.012
"36",543056,2025,717,-0.168,0.565,0.733
"37",543101,2025,632,-0.162,0.164,0.326
"38",543135,2025,1907,-0.382,-0.327,0.055
"39",543243,2025,2714,-0.544,-0.772,-0.228
"40",543294,2025,2568,0.478,0.465,-0.013
"41",543391,2025,24,0.543,2.066,1.523
"42",543518,2025,297,-0.23,0.011,0.241
"43",543859,2025,397,0.002,0.495,0.493
"44",544150,2025,172,0.279,0.566,0.287
"45",547001,2025,68,0.605,0.139,-0.466
"46",547179,2025,2312,0.098,0.439,0.341
"47",547184,2025,655,0.286,-0.078,-0.364
"48",547973,2025,910,-1.094,-1.56,-0.466
"49",548384,2025,366,-0.265,-0.182,0.083
"50",552640,2025,766,-0.407,-0.987,-0.58
"51",554340,2025,357,-0.67,-0.98,-0.31
"52",554430,2025,2384,-0.468,-1.203,-0.735
"53",554431,2025,127,0.277,-0.082,-0.359
"54",570632,2025,932,-0.319,0.026,0.345
"55",571510,2025,2732,0.14,0.04,-0.1
"56",571578,2025,2579,0.211,0.192,-0.019
"57",571760,2025,2072,0.314,0.144,-0.17
"58",571771,2025,51,NA,NA,NA
"59",571912,2025,2,NA,NA,NA
"60",571927,2025,1157,0.284,-0.187,-0.471
"61",571945,2025,2478,0.603,0.371,-0.232
"62",571946,2025,703,-0.381,-0.365,0.016
"63",571948,2025,1137,-0.316,-0.826,-0.51
"64",572955,2025,967,0.173,-0.287,-0.46
"65",573009,2025,191,0.014,0.314,0.3
"66",573124,2025,892,0.398,0.288,-0.11
"67",573186,2025,702,0.057,0.188,0.131
"68",573204,2025,837,0.03,-0.208,-0.238
"69",573262,2025,9,NA,NA,NA
"70",579328,2025,3090,-0.146,0.085,0.231
"71",592094,2025,1082,-0.368,0.042,0.41
"72",592155,2025,570,-0.307,-0.276,0.031
"73",592254,2025,101,0.193,-0.349,-0.542
"74",592332,2025,3028,-0.604,-0.451,0.153
"75",592351,2025,210,-0.009,0.196,0.205
"76",592426,2025,741,-0.369,-0.201,0.168
"77",592454,2025,1021,-0.601,0.42,1.021
"78",592662,2025,3061,-0.071,0.049,0.12
"79",592773,2025,1061,-1.029,-1.323,-0.294
"80",592779,2025,608,-0.716,-0.982,-0.266
"81",592791,2025,1970,0.603,0.053,-0.55
"82",592836,2025,2058,0.289,0.452,0.163
"83",592866,2025,1446,0.217,0.037,-0.18
"84",593423,2025,707,-0.504,-0.692,-0.188
"85",593576,2025,545,-0.317,0.076,0.393
"86",593833,2025,141,-0.806,-0.328,0.478
"87",593958,2025,2580,0.405,0.337,-0.068
"88",593974,2025,1134,-0.602,-0.308,0.294
"89",594580,2025,332,-0.671,0.593,1.264
"90",594798,2025,2612,-0.754,-1.547,-0.793
"91",594902,2025,667,0.939,0.863,-0.076
"92",595014,2025,500,-0.524,-0.835,-0.311
"93",595345,2025,1046,-0.031,-0.205,-0.174
"94",595897,2025,83,-0.589,0.185,0.774
"95",595928,2025,545,0.079,-0.176,-0.255
"96",596001,2025,1030,-0.103,-0.117,-0.014
"97",596112,2025,147,-0.738,-0.265,0.473
"98",596133,2025,1043,-0.408,-0.509,-0.101
"99",596271,2025,276,0.769,0.348,-0.421
"100",596295,2025,999,0.75,0.793,0.043
"101",600917,2025,228,-0.294,0.557,0.851
"102",601713,2025,2845,0.069,-0.466,-0.535
"103",605130,2025,1272,-0.081,0.498,0.579
"104",605135,2025,2820,-0.117,-0.085,0.032
"105",605154,2025,458,0.159,0.316,0.157
"106",605177,2025,609,0.454,0.806,0.352
"107",605182,2025,114,0.244,0.941,0.697
"108",605218,2025,65,-0.394,-0.158,0.236
"109",605242,2025,90,-0.097,0.294,0.391
"110",605280,2025,2665,-0.322,-0.453,-0.131
"111",605288,2025,1860,-0.263,-0.354,-0.091
"112",605347,2025,386,-0.378,0.113,0.491
"113",605400,2025,1564,0.056,-0.469,-0.525
"114",605447,2025,700,-0.322,-0.13,0.192
"115",605452,2025,861,-0.109,-0.309,-0.2
"116",605463,2025,533,-0.309,-0.375,-0.066
"117",605483,2025,1025,-0.363,-0.672,-0.309
"118",605488,2025,2840,0.427,0.427,0
"119",605507,2025,60,0.483,1.079,0.596
"120",605513,2025,125,-0.287,-0.891,-0.604
"121",605540,2025,957,0.131,-0.222,-0.353
"122",606160,2025,1084,-0.629,-0.774,-0.145
"123",606303,2025,449,-0.07,-0.345,-0.275
"124",606930,2025,146,-0.188,0.618,0.806
"125",606965,2025,262,-0.077,0.209,0.286
"126",606996,2025,689,-0.127,-0.155,-0.028
"127",607067,2025,2527,0.142,0.206,0.064
"128",607074,2025,3194,-0.141,0.135,0.276
"129",607179,2025,98,-0.074,0.302,0.376
"130",607192,2025,1476,-0.442,0.024,0.466
"131",607200,2025,2362,0.165,0.177,0.012
"132",607259,2025,2568,0.139,-0.495,-0.634
"133",607455,2025,1056,-0.493,0.206,0.699
"134",607481,2025,926,-0.296,0.546,0.842
"135",607536,2025,2475,0.106,0.052,-0.054
"136",607625,2025,2371,0.605,0.577,-0.028
"137",607732,2025,9,NA,NA,NA
"138",608032,2025,1043,-0.321,-0.012,0.309
"139",608331,2025,3106,-0.293,-0.387,-0.094
"140",608334,2025,453,-0.066,0.061,0.127
"141",608337,2025,2360,0.091,0.299,0.208
"142",608371,2025,278,-0.308,0.759,1.067
"143",608372,2025,2561,0.011,-0.012,-0.023
"144",608379,2025,2652,0.159,0.022,-0.137
"145",608566,2025,2083,-0.041,0.515,0.556
"146",608650,2025,695,-0.428,-0.407,0.021
"147",608665,2025,322,-0.005,0.884,0.889
"148",608671,2025,4,NA,NA,NA
"149",608717,2025,411,0.485,0.665,0.18
"150",608718,2025,1109,0.192,0.292,0.1
"151",612434,2025,105,0.13,0.744,0.614
"152",614179,2025,301,-0.566,-0.662,-0.0960000000000001
"153",615698,2025,1999,0.19,0.714,0.524
"154",620443,2025,1,NA,NA,NA
"155",620454,2025,541,-0.212,-0.358,-0.146
"156",621028,2025,5,NA,NA,NA
"157",621051,2025,970,0.196,-0.365,-0.561
"158",621053,2025,988,-0.327,0.125,0.452
"159",621057,2025,82,-0.292,-0.672,-0.38
"160",621107,2025,1121,0.06,-0.024,-0.084
"161",621111,2025,2186,0.115,0.519,0.404
"162",621112,2025,666,-0.025,-0.225,-0.2
"163",621114,2025,39,-0.144,-0.49,-0.346
"164",621121,2025,1146,0.153,0.395,0.242
